Ticker,Company,Pattern,Start Date,End Date,Width,API Start Date,API End Date,Breakout Date,Have Data
DAT,DATAWALK (DAT),vertical_run_up,2023-06-30,2023-07-05,5,2023-06-15,2023-07-20,,False
ENA,ENEA (ENA),rising_wedge,2023-05-21,2023-09-08,110,2022-06-25,2024-08-03,,False
1AT,ATAL (1AT),double_top,2023-05-26,2023-06-16,21,2023-03-24,2023-08-18,9/11/2023,False
AGO,AGORA (AGO),double_top,2023-05-29,2023-06-19,21,2023-03-27,2023-08-21,,False
PUR,PURE (PUR),vertical_run_up,2023-08-09,2023-08-14,5,2023-07-25,2023-08-29,,False
COG,COGNOR (COG),flat_base,2023-07-31,2023-09-05,36,2023-04-14,2023-12-22,,False
AGO,AGORA (AGO),rising_wedge,2023-06-06,2023-09-07,93,2022-08-31,2024-06-12,,False
COG,COGNOR (COG),descending_triangle,2023-07-24,2023-09-05,43,2023-03-17,2024-01-12,,False
SKH,SKARBIEC (SKH),rising_wedge,2023-07-03,2023-09-08,67,2022-12-14,2024-03-27,,False
TEN,TSGAMES (TEN),double_bottom,2023-05-14,2023-07-10,57,2022-11-24,2023-12-28,,False
ANR,ANSWEAR (ANR),double_top,2023-07-27,2023-08-07,11,2023-06-24,2023-09-09,,False
PXM,POLIMEXMS (PXM),falling_wedge,2023-08-02,2023-08-29,27,2023-05-13,2023-11-18,,False
BDX,BUDIMEX (BDX),vertical_run_up,2023-08-10,2023-08-16,6,2023-07-23,2023-09-03,,False
ANR,ANSWEAR (ANR),h&s_top,2023-07-17,2023-08-07,21,2023-05-15,2023-10-09,,False
,WIG-BUDOW,vertical_run_up,2023-08-11,2023-08-16,5,2023-07-27,2023-08-31,,False
SLV,SELVITA (SLV),double_bottom,2023-07-19,2023-09-07,50,2023-02-19,2024-02-04,,False
JSW,JSW,double_bottom,2023-08-24,2023-09-08,15,2023-07-10,2023-10-23,,False
TEN,TSGAMES (TEN),rising_wedge,2023-05-10,2023-06-28,49,2022-12-14,2023-11-22,,False
,WIG-PALIWA,double_top,2023-06-28,2023-07-14,16,2023-05-11,2023-08-31,,False
DVL,DEVELIA (DVL),triangle,2023-07-25,2023-08-17,23,2023-05-17,2023-10-25,9/11/2023,False
DVL,DEVELIA (DVL),triangle,2023-07-31,2023-09-04,35,2023-04-17,2023-12-18,9/11/2023,False
MRC,MERCATOR (MRC),double_bottom,2023-08-24,2023-09-05,12,2023-07-19,2023-10-11,,False
OPN,OPONEO.PL (OPN),rising_wedge,2023-08-26,2023-09-11,16,2023-07-09,2023-10-29,,False
OPN,OPONEO.PL (OPN),flat_base,2023-08-12,2023-09-07,26,2023-05-26,2023-11-24,,False
BBD,BBIDEV (BBD),descending_triangle,2023-08-11,2023-09-07,27,2023-05-22,2023-11-27,,False
OPN,OPONEO.PL (OPN),ascending_triangle,2023-08-21,2023-09-11,21,2023-06-19,2023-11-13,,False
CTX,CAPTORTX (CTX),double_bottom,2023-07-27,2023-08-02,6,2023-07-09,2023-08-20,9/11/2023,False
ENG,ENERGA (ENG),falling_wedge,2023-07-31,2023-08-25,25,2023-05-17,2023-11-08,,False
,WIG-INFO,h&s_top,2023-07-14,2023-09-11,59,2023-01-18,2024-03-06,,False
SFS,SFINKS (SFS),double_bottom,2023-08-26,2023-09-05,10,2023-07-27,2023-10-05,9/11/2023,False
ALL,AILLERON (ALL),h&s_bottom,2023-08-14,2023-09-08,25,2023-05-31,2023-11-22,,False
ERB,ERBUD (ERB),double_bottom,2023-08-30,2023-09-11,12,2023-07-25,2023-10-17,,False
MRC,MERCATOR (MRC),double_bottom,2023-07-21,2023-08-21,31,2023-04-19,2023-11-22,,False
ASE,ASSECOSEE (ASE),falling_wedge,2023-08-15,2023-09-11,27,2023-05-26,2023-12-01,,False
KTY,KETY (KTY),double_bottom,2023-08-23,2023-08-31,8,2023-07-30,2023-09-24,,False
CPS,CYFRPLSAT (CPS),double_bottom,2023-08-30,2023-09-07,8,2023-08-06,2023-10-01,,False
ZRE,ZREMB (ZRE),double_bottom,2023-08-23,2023-08-29,6,2023-08-05,2023-09-16,,False
ZRE,ZREMB (ZRE),double_bottom,2023-08-30,2023-09-08,9,2023-08-03,2023-10-05,,False
BBT,BOOMBIT (BBT),ascending_triangle,2023-08-20,2023-09-06,17,2023-06-30,2023-10-27,,False
,WIG-PALIWA,descending_channel,2023-08-14,2023-09-08,25,2023-05-31,2023-11-22,,False
PCF,PCFGROUP (PCF),double_bottom,2023-08-23,2023-09-11,19,2023-06-27,2023-11-07,,False
ZAP,PULAWY (ZAP),falling_wedge,2023-07-19,2023-08-18,30,2023-04-20,2023-11-16,,False
ACT,ACTION (ACT),flat_base,2023-08-12,2023-09-07,26,2023-05-26,2023-11-24,,False
,WIG-NRCHOM,triangle,2023-07-29,2023-08-22,24,2023-05-18,2023-11-02,9/11/2023,False
,WIG-PALIWA,falling_wedge,2023-08-14,2023-09-08,25,2023-05-31,2023-11-22,,False
,WIG-SPOZYW,falling_wedge,2023-08-21,2023-09-11,21,2023-06-19,2023-11-13,,False
,WIG-NRCHOM,descending_triangle,2023-08-12,2023-09-05,24,2023-06-01,2023-11-16,9/11/2023,False
ACT,ACTION (ACT),resistance,2023-08-12,2023-09-07,26,2023-05-26,2023-11-24,,False
AGO,AGORA (AGO),uptrend,2023-06-06,2023-09-07,93,2022-08-31,2024-06-12,,False
ALE,ALLEGRO (ALE),support,2023-06-03,2023-09-07,96,2022-08-19,2024-06-21,,False
ACP,ASSECOPOL (ACP),downtrend,2023-07-13,2023-09-11,60,2023-01-14,2024-03-09,,False
ATR,ATREM (ATR),uptrend,2023-05-17,2023-08-31,106,2022-07-03,2024-07-14,,False
BMC,BUMECH (BMC),downtrend,2023-07-12,2023-09-04,54,2023-01-31,2024-02-13,,False
DEL,DELKO (DEL),support,2023-08-08,2023-09-11,34,2023-04-28,2023-12-22,,False
DEL,DELKO (DEL),uptrend,2023-07-16,2023-08-29,44,2023-03-06,2024-01-08,,False
ATT,GRUPAAZOTY (ATT),downtrend,2023-06-14,2023-09-05,83,2022-10-08,2024-05-11,,False
